Location.ID,pca_0,pca_1,pca_2,pca_3
45329,-175.054323418,12378.8156541,9414.71564519,-1910.52114507
45330,-175.061778258,12378.8152317,9414.71495509,-1910.52553025
45331,-12525.3086706,29016.984842,-14854.5849086,-2080.97771631
45332,-8956.02586006,13163.3900337,-31048.6240708,-7543.14896214
45333,13851.2984968,3214.83205883,-2339.69866654,1820.6267711
45334,13851.2945393,3214.83012698,-2339.6984246,1820.62407091
45335,19571.6464646,-5090.43217452,-3751.40228887,712.410316575
45336,-17141.7365326,37433.1762292,2556.28109363,-1703.66478597
45337,-27060.7614085,37767.3491623,-490.381381863,-9167.63355868
45338,-37240.9900707,-12665.5242903,-28929.7164585,18377.9685234
45339,9358.15246924,15792.0264256,22391.4244592,4394.4040651
45340,-35944.7730814,38200.8268964,-5456.03139695,-13369.1662373
45341,-35944.7716013,38200.8273162,-5456.03139235,-13369.165278
45342,5624.18829047,16593.1792044,21657.0336649,2586.55757428
45343,5588.79812331,16606.6957746,21637.3152082,2581.58265228
45344,2486.14109189,20176.265531,25571.1628098,2416.18881989
45345,5041.38193709,16337.5559312,21559.6825151,2338.98497954
45346,5041.38195564,16337.5559431,21559.6825124,2338.98499774
45347,-4153.16080046,25901.6599536,21403.8813601,1936.84389812
45348,23906.0432206,-5302.79631506,-2675.70143995,2960.88739978
45349,23717.3541132,-5716.45616678,-2781.63991713,2704.17209406
45350,9358.85337483,16152.3772446,22360.25691,4392.6964753
45351,9097.35568167,15947.7939012,22385.9322389,4185.58025677
45352,23723.620378,-5607.84573576,-2917.29454374,2945.21203307
45353,-58.4814997899,11965.0393499,-25996.2684272,-3511.14719505
45354,20238.9186015,-5046.69161061,-3616.66455971,1130.04786202
45355,20238.9193295,-5046.6920161,-3616.66435993,1130.04861535
45356,-22300.2233621,-16535.9285362,-4679.74117178,26510.8642425
45357,-43274.1241557,-4942.61810687,-28053.6096974,19395.6166958
45358,-43237.3348713,-4898.08271128,-28069.3532012,19375.943856
45359,-11791.4812158,-25462.9224992,-3485.75067322,28070.514507
45360,-18637.0459906,5852.83790745,-34699.9528325,-18250.1431312
45361,-29123.1108815,40435.8086541,-5062.6856992,-8669.07806346
45362,9714.1587025,1192.44283511,-2882.20705621,-1453.30568367
45363,-41648.8732643,24789.9854549,3092.60274206,-29828.8118625
45364,-4953.31775607,16075.4482133,18372.5185609,-6645.01561184
45365,-10068.6665921,8905.25269575,-31156.5567662,-13193.7724401
45366,-10068.6665921,8905.25269575,-31156.5567662,-13193.7724401
45367,-10068.6665921,8905.25269575,-31156.5567662,-13193.7724401
45368,-40487.2633336,25155.5961453,3432.50292808,-29019.2692211
45369,-17803.2422888,-552.842095801,-11390.2151009,-27609.4667258
45370,-20132.5323119,41384.1668044,-2490.3869382,-993.201465694
45371,-17244.7094774,16747.9240368,-29691.7415509,-12706.2829037
45372,-17244.7094774,16747.9240368,-29691.7415509,-12706.2829037
45373,-25824.7425648,41049.5982812,-4485.10753232,-5942.81990218
45374,-15916.3330988,38025.2027221,2564.07730088,-1107.35946476
45375,21201.0530981,-5128.65513752,-3649.78337884,1449.14380268
45376,20196.0820048,-4767.45245805,-3972.05090651,877.748642016
45377,6199.20354031,17344.6556957,21268.4740654,2949.47871788
45378,2284.30494235,23114.4146893,26786.4375177,3312.56127368
45379,-12532.8793289,31899.3293918,-3308.19789725,-1959.55402365
45380,6885.37137046,-1922.67591284,511.58758401,-7370.19643349
45381,6885.37137046,-1922.67591284,511.58758401,-7370.19643349
45382,6885.37297007,-1922.67495275,511.587331261,-7370.19536932
45383,-29261.1586312,37702.9751671,-9998.49756611,-9906.75328858
45384,-13925.5731036,35140.5041341,-7833.72033527,-488.813232114
45385,5442.30240394,20264.2902156,16468.6878124,4398.55878269
45386,-15311.067727,35714.2890554,-8518.57117103,-1130.14889118
45387,-12040.0513478,34421.37327,9246.28566461,627.690719239
45388,-18226.1488234,40936.8265609,-2208.67669535,328.503328392
45389,-5464.90831933,9511.69049365,-30468.7788429,-9426.12372543
45390,-16918.1964534,-22076.8116496,-9002.54363923,26175.3623481
45391,13451.6013088,-4454.7825928,-6663.91285192,-4836.43758476
45392,-11377.8966893,33465.2575883,-4980.42859813,120.911939573
45393,-11377.8966893,33465.2575883,-4980.42859813,120.911939573
45394,-16277.6331643,38225.6071862,2579.76511206,-988.029358052
45395,18347.9282732,-1968.64105504,-8361.76957666,1973.20502178
45396,1138.30652009,17038.5754694,17141.5330486,744.954391007
45397,2949.75513551,4796.38125973,-6442.65139111,-6277.61314823
45398,698.571692995,4702.27987962,-6905.95713808,-7556.4496897
45399,-22898.7656728,37625.0844891,487.206260444,-7136.6529138
45400,-22898.7656728,37625.0844891,487.206260444,-7136.6529138
45401,-20090.6912821,-132.152215019,17983.8645723,36969.0311718
45402,-20090.6912821,-132.152215019,17983.8645723,36969.0311718
45403,-36147.2856235,32744.6435534,-7036.85041172,2352.02273283
45404,-56815.7296066,21458.2486376,-4971.62580107,23135.6976661
45405,-46907.7506905,21101.6255763,-1815.0237059,30677.6955153
45406,-46907.7506905,21101.6255763,-1815.0237059,30677.6955153
45407,-14584.5133439,35059.7316253,-253.687337853,-1360.412901
45408,24910.9740532,-4986.38577137,-3010.07657012,3663.82920645
45409,24888.111278,-5152.24072105,-2862.11399663,3428.67023378
45410,24947.328192,-4870.80066639,-3009.6495368,3722.02236304
45411,-37947.3451583,6051.22583335,19799.388839,27559.6108725
45412,24780.7508088,-5041.99616187,-2940.70748105,3564.38395128
45413,24547.7492954,-5215.02346915,-2906.85211413,3390.1467018
45414,-10665.112413,2933.55837363,-13953.4629919,-20406.557569
45415,19003.0081891,-1731.68120798,-8533.01887879,2395.78979099
45416,5361.69982423,9459.10074479,-27301.3129029,-1275.86760242
45417,-46199.3496761,21050.662322,-1672.69839266,31286.4689868
45418,-23997.1297058,-15808.8196628,-5202.5059602,25559.3761361
45419,-28081.3343508,26634.8719115,7848.68959506,-19322.6492797
45420,16296.1332186,661.268818574,2211.47957307,1117.55274731
45421,-8303.61062067,1065.73974951,27639.4909287,-21019.0420499
45422,20025.775963,-10280.6111036,-503.274510128,-2602.23769224
45423,-13242.0343021,26774.9463197,18496.8264826,-5554.21376388
45424,17059.8287428,-2125.92067398,3499.37273489,620.477735266
45425,-10026.5634897,-30156.6325124,10568.9741813,-3485.46727747
45426,18174.7332804,-1628.58714843,-8547.56585085,2013.43655251
45427,14292.8232656,3883.50350718,-2858.23744931,2209.64365701
45428,-15063.6982793,3268.02920353,-17366.3296945,-22826.9545962
45429,17143.5977848,-3642.5595723,5301.65337448,-1198.12854324
45430,-33021.9904692,-24770.5644895,30909.3663554,14097.5149662
45431,-18307.2356578,-46011.0637138,5823.25465717,12856.9820124
45432,-3793.25684886,-30064.9774178,1106.78714641,30769.9229534
45433,20380.7040063,-9789.24224,-416.073453761,-2318.58348886
45434,9647.53424826,6949.12246873,-8969.04774922,109.109545587
45435,13263.6997731,-5987.15915219,-5815.82394949,-5540.25837501
45436,19395.1062372,13.3588661285,3041.37874582,3121.19197909
45437,24869.5422658,-4841.42798476,-2981.31132169,3712.05695128
45438,24717.8185039,-4994.31304057,-2970.64486062,3597.8306494
45439,24717.8185039,-4994.31304057,-2970.64486062,3597.8306494
